A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry
21576,21617,0.21748844675874224,21576_21617,2120,0,5,34,,"LINESTRING (424532 4486207, 424535 4486557)"
21576,21640,0.25187296167642176,21576_21640,2120,0,2,42,,"LINESTRING (424532 4486207, 424584 4486609)"
21592,21619,0.20241973926891882,21592_21619,1760,0,1,41,,"LINESTRING (417382 4493462, 417321 4493782)"
21609,21570,0.2547787347336913,21609_21570,2119,0,3,41,,"LINESTRING (424442 4486610, 424506 4486205)"
21614,21567,0.20132668448249136,21614_21567,1774,0,1,42,,"LINESTRING (417305 4493779, 417238 4493462)"
21615,21617,0.004393768757295212,21615_21617,2119,0,1,39,,"LINESTRING (424528 4486558, 424535 4486557)"
21615,21672,0.2713635123445088,21615_21672,2104,0,1,38,,"LINESTRING (424528 4486558, 424503 4486994)"
21617,21615,0.004393768757295212,21617_21615,2119,0,1,39,,"LINESTRING (424535 4486557, 424528 4486558)"
21617,21675,0.2712325804206118,21617_21675,2104,0,5,34,,"LINESTRING (424535 4486557, 424514 4486993)"
21624,21570,0.264089992234955,21624_21570,2119,0,5,34,,"LINESTRING (424509 4486630, 424506 4486205)"
21624,21628,0.004970981893198455,21624_21628,2104,0,1,39,,"LINESTRING (424509 4486630, 424517 4486630)"
21628,21571,0.2671967794182304,21628_21571,2119,0,1,38,,"LINESTRING (424517 4486630, 424514 4486200)"
21628,21624,0.004970981893198455,21628_21624,2104,0,1,39,,"LINESTRING (424517 4486630, 424509 4486630)"
21640,21675,0.2425392192722015,21640_21675,2108,0,3,41,,"LINESTRING (424584 4486609, 424514 4486993)"
21644,21609,0.08755845230371972,21644_21609,2104,0,2,42,,"LINESTRING (424458 4486750, 424442 4486610)"
21647,21551,0.3390727230908529,21647_21551,906,0,1,41,,"LINESTRING (400004.7666 4511256.963, 399740.356 4510779.619)"
21648,21726,0.39460492847047063,21648_21726,907,0,1,41,,"LINESTRING (400346.3945 4510929.374, 400503.169 4511544.772)"
21668,21624,0.23113896524025454,21668_21624,2104,0,5,34,,"LINESTRING (424482 4487001, 424509 4486630)"
21668,21644,0.1566759042021958,21668_21644,2104,0,2,42,,"LINESTRING (424482 4487001, 424458 4486750)"
21670,21628,0.23043212299189306,21670_21628,2104,0,1,38,,"LINESTRING (424492 4487000, 424517 4486630)"
21672,21778,0.7482777822512033,21672_21778,2104,0,1,38,0015_291.4,"LINESTRING (424503 4486994, 424300 4488181)"
21675,21780,0.7521623937488687,21675_21780,2104,0,5,34,0015_291.4,"LINESTRING (424514 4486993, 424309 4488186)"
21716,21551,0.6264208665426966,21716_21551,906,0,2,35,,"LINESTRING (400430.6315 4511514.353, 399740.356 4510779.619)"
21716,21647,0.3091980489591299,21716_21647,906,0,1,42,,"LINESTRING (400430.6315 4511514.353, 400004.7666 4511256.963)"
21726,22006,1.0075182048448126,21726_22006,907,0,2,35,0080_104.3,"LINESTRING (400503.169 4511544.772, 401648 4512693)"
21771,21668,0.737974240387174,21771_21668,2104,0,5,34,0015_291.4,"LINESTRING (424278 4488171, 424482 4487001)"
21773,21670,0.7372555443516485,21773_21670,2104,0,1,38,0015_291.4,"LINESTRING (424289 4488169, 424492 4487000)"
21778,21806,0.22065294971310853,21778_21806,2104,0,1,38,,"LINESTRING (424300 4488181, 424240 4488531)"
21780,21811,0.2187108461074654,21780_21811,2104,0,5,34,,"LINESTRING (424309 4488186, 424250 4488533)"
21780,21821,0.23143944936065286,21780_21821,2105,0,2,42,,"LINESTRING (424309 4488186, 424342 4488557)"
21790,21771,0.14248958886118687,21790_21771,2104,0,2,41,,"LINESTRING (424201 4488387, 424278 4488171)"
21799,21790,0.11447433075709891,21799_21790,2104,0,2,41,,"LINESTRING (424135 4488559, 424201 4488387)"
21806,21811,0.00633678341878383,21806_21811,2104,0,1,39,,"LINESTRING (424240 4488531, 424250 4488533)"
21806,21846,0.2672336248293708,21806_21846,1989,0,1,38,,"LINESTRING (424240 4488531, 424168 4488955)"
21811,21806,0.00633678341878383,21811_21806,2104,0,1,39,,"LINESTRING (424250 4488533, 424240 4488531)"
21811,21850,0.2665174801065997,21811_21850,1989,0,5,34,,"LINESTRING (424250 4488533, 424179 4488956)"
21813,21771,0.2628414020849823,21813_21771,2104,0,5,34,,"LINESTRING (424207 4488588, 424278 4488171)"
21813,21814,0.006863286202534742,21813_21814,1989,0,1,39,,"LINESTRING (424207 4488588, 424218 4488589)"
21814,21773,0.2646792587066181,21814_21773,2104,0,1,38,,"LINESTRING (424218 4488589, 424289 4488169)"
21814,21813,0.006863286202534742,21814_21813,1989,0,1,39,,"LINESTRING (424218 4488589, 424207 4488588)"
21817,21799,0.08017875589101085,21817_21799,1989,0,2,42,,"LINESTRING (424138 4488688, 424135 4488559)"
21821,21850,0.26781813706787067,21821_21850,1928,0,2,41,,"LINESTRING (424342 4488557, 424179 4488956)"
21827,21872,0.19849917164754854,21827_21872,1739,0,1,42,,"LINESTRING (417395 4495554, 417468 4495865)"
21840,21813,0.21503626803790962,21840_21813,1989,0,5,34,,"LINESTRING (424148 4488929, 424207 4488588)"
21840,21817,0.14987968959631595,21840_21817,1989,0,2,42,,"LINESTRING (424148 4488929, 424138 4488688)"
21844,21814,0.21748578381424544,21844_21814,1989,0,1,38,,"LINESTRING (424159 4488934, 424218 4488589)"
21846,21928,0.5296640399113188,21846_21928,1989,0,1,38,0015_292.6,"LINESTRING (424168 4488955, 424029 4489796)"
21850,21930,0.5273141261547613,21850_21930,1919,0,5,34,0015_292.6,"LINESTRING (424179 4488956, 424039 4489793)"
21857,21825,0.1979752437828496,21857_21825,1738,0,1,41,,"LINESTRING (417325 4495868, 417379 4495554)"
21872,21899,0.19789916885324785,21872_21899,1722,0,1,41,,"LINESTRING (417468 4495865, 417421 4496180)"
21898,21857,0.2002951427498375,21898_21857,1721,0,1,42,,"LINESTRING (417406 4496180, 417325 4495868)"
21923,21840,0.5561216565460988,21923_21840,1989,0,5,34,0015_292.6,"LINESTRING (424002 4489812, 424148 4488929)"
21924,21844,0.5479492957238483,21924_21844,1989,0,1,38,0015_292.6,"LINESTRING (424015 4489804, 424159 4488934)"
21928,21964,0.22648162561804958,21928_21964,1989,0,1,38,,"LINESTRING (424029 4489796, 423966 4490155)"
21930,21942,0.16888104157802872,21930_21942,1919,0,3,42,,"LINESTRING (424039 4489793, 424037.8757 4490064.78469)"
21930,21966,0.2275997662673873,21930_21966,1919,0,5,34,,"LINESTRING (424039 4489793, 423977 4490154)"
21942,21986,0.07637343184009968,21942_21986,1919,0,3,42,,"LINESTRING (424037.8757 4490064.78469, 424046.36869 4490187.40173)"
21942,22025,0.2048840581077861,21942_22025,1918,0,1,42,,"LINESTRING (424037.8757 4490064.78469, 424009.332 4490393.275)"
21949,21923,0.18156209394810333,21949_21923,1989,0,3,41,,"LINESTRING (423909 4490089, 424002 4489812)"
21958,21949,0.06376265317392374,21958_21949,1989,0,3,41,,"LINESTRING (423882 4490188, 423909 4490089)"
